代號,簡稱,資產類別,官方產業,大類股,市場別
6923,中台,普通股,綠能環保,政策綠能類,上市 (TWSE)
6924,榮惠-KY創,普通股,金融保險業,金融保險類,上市 (TWSE)
6925,意藍,普通股,未分類,其他/未分類,上櫃 (TPEx)
6926,聖安生醫,普通股,光電業,電子科技類,興櫃 (ESM)
6927,聯合聚晶,普通股,電子零組件業,電子科技類,興櫃 (ESM)
6928,攸泰科技,普通股,電子通路業,電子科技類,上市 (TWSE)
6929,佑全,普通股,光電業,電子科技類,上櫃 (TPEx)
6931,青松健康,普通股,光電業,電子科技類,上市 (TWSE)
6932,水星生醫*,普通股,光電業,電子科技類,興櫃 (ESM)
6933,AMAX-KY,普通股,電子通路業,電子科技類,上市 (TWSE)
6934,心誠鎂,普通股,光電業,電子科技類,上市 (TWSE)
6935,王子製藥,普通股,食品工業,傳統產業類,興櫃 (ESM)
6936,永鴻生技,普通股,光電業,電子科技類,上市 (TWSE)
6937,天虹,普通股,電子零組件業,電子科技類,上市 (TWSE)
6938,藍新資訊,普通股,運動休閒,傳統產業類,興櫃 (ESM)
6939,啟弘生技,普通股,光電業,電子科技類,興櫃 (ESM)
6940,格斯科技*,普通股,金融保險業,金融保險類,興櫃 (ESM)
6944,兆聯實業,普通股,綠能環保,政策綠能類,上市 (TWSE)
6946,三地能源,普通股,綠能環保,政策綠能類,興櫃 (ESM)
6947,台鎔科技,普通股,綠能環保,政策綠能類,興櫃 (ESM)
6949,沛爾生醫-創,普通股,光電業,電子科技類,上市 (TWSE)
6951,青新-創,普通股,綠能環保,政策綠能類,上市 (TWSE)
6952,大武山,普通股,半導體業,電子科技類,上市 (TWSE)
6953,家碩,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6955,邦睿生技-創,普通股,光電業,電子科技類,上市 (TWSE)
6957,裕慶-KY,普通股,半導體業,電子科技類,上市 (TWSE)
6958,日盛台駿,普通股,半導體業,電子科技類,上市 (TWSE)
6959,兆捷科技,普通股,電腦及週邊設備業,電子科技類,興櫃 (ESM)
6961,旅天下,普通股,油電燃氣業,傳統產業類,上櫃 (TPEx)
6962,奕力-KY,普通股,電子零組件業,電子科技類,上市 (TWSE)
6963,品元,普通股,食品工業,傳統產業類,興櫃 (ESM)
6965,中傑-KY,普通股,未分類,其他/未分類,上市 (TWSE)
6967,汎瑋材料,普通股,金融保險業,金融保險類,上櫃 (TPEx)
6968,萬達寵物,普通股,未分類,其他/未分類,上櫃 (TPEx)
6969,成信實業*-創,普通股,綠能環保,政策綠能類,上市 (TWSE)
6971,惠民實業,普通股,綠能環保,政策綠能類,上櫃 (TPEx)
6972,博瑞達應材,普通股,電腦及週邊設備業,電子科技類,興櫃 (ESM)
6973,永立榮,普通股,光電業,電子科技類,興櫃 (ESM)
6976,育世博-KY,普通股,光電業,電子科技類,興櫃 (ESM)
6977,聯純,普通股,綠能環保,政策綠能類,興櫃 (ESM)
6979,勝釩,普通股,資訊服務業,電子科技類,興櫃 (ESM)
6980,鐳洋科技,普通股,其他電子業,電子科技類,興櫃 (ESM)
6982,大井泵浦,普通股,電機機械,傳統產業類,上櫃 (TPEx)
6983,華洋精機,普通股,居家生活,傳統產業類,上櫃 (TPEx)
6984,ACpay,普通股,未分類,其他/未分類,興櫃 (ESM)
6986,和迅,普通股,光電業,電子科技類,興櫃 (ESM)
6987,寶晶能源*,普通股,綠能環保,政策綠能類,興櫃 (ESM)
6988,威力暘-創,普通股,建材營造,傳統產業類,上市 (TWSE)
6990,華鉬,普通股,綠能環保,政策綠能類,興櫃 (ESM)
6994,富威電力,普通股,綠能環保,政策綠能類,上市 (TWSE)
6995,野獸國,普通股,半導體業,電子科技類,興櫃 (ESM)
6996,力領科技,普通股,電子零組件業,電子科技類,上櫃 (TPEx)
6997,博弘,普通股,未分類,其他/未分類,上櫃 (TPEx)
6999,瀚醫生技,普通股,光電業,電子科技類,興櫃 (ESM)
7402,邑錡,普通股,資訊服務業,電子科技類,上櫃 (TPEx)
7419,達勝,普通股,金融保險業,金融保險類,興櫃 (ESM)
7427,華上生醫,普通股,光電業,電子科技類,興櫃 (ESM)
7443,凡事康,普通股,半導體業,電子科技類,興櫃 (ESM)
7455,樺緯物聯,普通股,電子通路業,電子科技類,興櫃 (ESM)
